成功解析 31 個模組。
--- Starting Single-Pass Warm-up & Weight Calculation ---
Total samples for warm-up: 5000
Accurate time per iteration: 0.0207342 ms
Average Area/AR cost: 520466
Average INL cost: 118832
First round. 
Calculated weights -> w_area: 1, w_inl: 4.37985
Adaptive SA params (Strategy B): max_iter=310, cooling_rate=0.999872, num_steps=89854
Temp: 9625.68, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 9624.44, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 9623.21, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 9621.98, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 9620.74, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9619.51, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9618.28, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9617.05, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 9615.81, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9614.58, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 9613.35, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
No improvement for 10 steps. Applying punishing cooldown.
Temp: 9323.72, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9322.52, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9321.33, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9320.14, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.27
Temp: 9318.94, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 9317.75, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 9316.55, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9315.36, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9314.17, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9312.97, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9311.78, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 9310.59, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 9309.39, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9308.20, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9307.01, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.39
Temp: 9305.82, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9304.62, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9303.43, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9302.24, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9301.05, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
No improvement for 10 steps. Applying punishing cooldown.
Temp: 9020.83, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 9019.67, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9018.51, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9017.36, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 9016.20, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 9015.05, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9013.89, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9012.74, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 9011.58, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 9010.43, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9009.27, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9008.12, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.28
Temp: 9006.97, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 9005.81, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 9004.66, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9003.50, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9002.35, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 9001.20, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 9000.04, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8998.89, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
No improvement for 10 steps. Applying punishing cooldown.
Temp: 8727.77, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8726.65, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.40
Temp: 8725.54, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 8724.42, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 8723.30, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 8722.18, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8721.06, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8719.95, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8718.83, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
